NODEID,x,y
S9C6CPHB1,307403.3999650781,2771425.0480396613
S9C6CPHDT,307403.166989384,2771514.913007423
S9C9APHPU,307497.76524121943,2771835.778962015
S9C77PH92,307430.7099834103,2771362.48720985
S9C5GPH91,307375.96912311827,2771361.0110433465
S9C8JPH9K,307473.1660432929,2771378.9561422444
S9CBWPHB0,307581.3930388079,2771423.7959811212
S9CDJPHAS,307633.88720479613,2771418.22803959
S9CNPPHB7,307926.18698833266,2771430.719032222
S9CGUPH9J,307739.78295440535,2771378.1499520293
S9D1UPHEL,308283.5160682052,2771540.3369932305
S9CUQPHBC,308119.3890568887,2771435.9919630126
S9CXDPHBP,308204.52399546443,2771447.4839547393
S9C9HPHST,307504.16805332305,2771931.0850419495
S9CAJPHSB,307537.84104405035,2771914.8849532707
S9CWMPHGA,308180.3989859421,2771593.6600185195
S9D31PJCS,308320.8441177194,2772505.588007008
S9D2HPJ67,308304.3210167,2772295.281987488
S9CVPPJHS,308151.1280698145,2772665.8909951127
S9HE3PJ89,312771.12299739476,2772361.0419522524
S9GXSPJPA,312313.8549632113,2772842.025022477
S9GWWPJN3,312285.3519611905,2772802.9129658956
S9H5TPJBN,312506.1971641073,2772469.6990244035
S9CQBPKEF,307978.54904961726,2773582.8340076557
S9CPMPKE7,307956.7041678214,2773575.358041346
S9CTSPKJQ,308089.6540660322,2773720.341973204
S9CE6PKLX,307653.55003614014,2773791.1989995856
S9C5APLAE,307369.88097067585,2774478.3789616865
S9CGEPL0G,307725.4139696509,2774160.432970839
S9CH0PL0R,307744.0540536253,2774168.899027203
S9CE5PL3N,307653.0570184321,2774261.7570094736
S9CLTPL28,307867.0029573342,2774216.5420077085
S9CPQPKNH,307959.55913761276,2773841.131994248
S9CS2PKRS,308033.2220082466,2773945.848953646
S9CU2PJWQ,308097.30402126786,2773080.1589726657
S9CSCPK1Q,308044.03196542035,2773176.436007318
S9CQBPKDV,307978.28396463674,2773565.4940234507
S9D48PK5L,308359.27895923215,2773299.685017398
S9CTKPK25,308082.4410300156,2773189.4200316723
S9CQNPKDV,307989.61495863454,2773565.3429616992
S9GF8PJP2,311783.61897638056,2772834.0710310303
S9CQ8PKHK,307975.9430647214,2773683.4030020605
S9AXDPKQ7,306156.59098157164,2773894.799999477
S9D2UPJL8,308315.6099994656,2772744.5190010224
S9D3BPJUT,308330.53403635876,2773018.785037415
S9D37PJLF,308326.22398696706,2772751.182032527
S9BTVPHS7,307068.61197203974,2771911.191046319
S9BVQPHRV,307128.1212407253,2771901.1000087145
S9C1MPHQR,307252.73408701865,2771864.631990614
S9C57PHSE,307366.7029605053,2771917.9810205894
S9C6SPHT1,307417.5000080068,2771937.4869699567
S9BRGPGRJ,306991.17420212383,2770865.8750075162
S9CWQPHNP,308184.0120093867,2771798.6389566185
S9D2NPHNW,308309.1970277398,2771805.9819840817
S9BN7PHGF,306886.86397825123,2771599.1760297175
S9BT8PHBJ,307047.495006331,2771442.518020219
S9BN7PHFX,306886.27199298475,2771583.4020365374
S9C2LPHMW,307283.76214556035,2771773.8210271634
S9D95PJ02,308516.8619579503,2772097.8319879184
S9DHMPJ5V,308788.303042492,2772284.6440452663
S9DDNPJ4N,308661.4760490333,2772245.8550266675
S9DCWPJ57,308637.67314888583,2772262.779038849
S9C8MPGSE,307476.201235948,2770893.9030486965
S9CAWPGUH,307549.64604508964,2770961.2349824356
S9CAVPGU5,307548.42995365296,2770948.6139760218
S9BUPPH55,307094.1739985093,2771236.586011538
S9C55PH56,307365.01300488395,2771237.638885553
S9C3HPH0A,307313.1000337234,2771082.432998816
S97CGPH49,302480.1130368639,2771208.9799607014
S9841PH0B,303232.1920485025,2771083.5409967904
S99JSPGQT,304729.3849989922,2770842.6110092187
S994HPGQM,304273.1269670867,2770837.150036741
S9AXFPGRJ,306158.46002821036,2770865.7570430893
S9B7APGTR,306409.5781136872,2770937.4280121448
S9B3FPGS0,306286.7420413076,2770879.804955361
S9B3GPGSQ,306287.21612406085,2770903.9409550447
S9BERPFGL,306649.05199125106,2769555.831032314
S9B9APFGB,306473.77422979346,2769547.2859641686
S9B91PFGT,306464.6020243148,2769562.808963717
S9BF5PFSH,306660.4209554213,2769872.729011434
S9C1LPGLS,307251.84199400025,2770713.647046632
S9C0LPGJA,307219.3109621952,2770634.416036025
S9BBFPFML,306543.0719564994,2769715.6550467126
S9BRCPGF8,306987.3361079289,2770535.7559561124
S9BR6PGCW,306981.48996524565,2770461.560996962
S9BR2PGEK,306977.82302859146,2770515.195031479
S9C63PGQC,307395.15003014414,2770828.298993866
S9C8VPHSR,307484.20396939997,2771928.5899809776
S9C5KPH8S,307378.19122577895,2771353.9596486795
S9C6RPH8B,307417.0526071551,2771339.1927636066
S9C1CPH8H,307243.4610262354,2771345.522038171
S9C7VPH8D,307452.586581069,2771340.7566717253
S9CC2PHAP,307585.3790412947,2771415.1399913016
S9CS2PHB9,308033.70101141697,2771433.400966843
S9CNNPH9K,307925.90702163195,2771379.0560176503
S9CGUPH8N,307739.74197222904,2771349.7760449983
S9D2QPHF0,308311.2030410201,2771552.4419842004
S9D1XPHDH,308286.35709649365,2771504.8830160215
S9CUTPH9F,308123.04499311495,2771375.063959428
S9D24PHBJ,308292.0770461109,2771442.147958757
S9D22PHBX,308290.13903611543,2771455.357047226
S9C9CPHTF,307499.9652384212,2771951.450020359
S9CA3PHV8,307522.77497297054,2772008.1589676742
S9D26PHH6,308293.5719930559,2771621.8309979793
S9D6JPJEW,308433.6209873456,2772574.549040832
S9D5PPJ82,308406.9062072626,2772354.0120161646
S9HETPJ28,312794.3540226441,2772167.697008718
S9HFJPHXV,312817.45147834625,2772092.9509075256
S9GWUPJM6,312283.620999936,2772774.086950517
S9GXQPJP7,312312.10606944555,2772839.427024863
S9H7HPJGF,312560.2900867547,2772623.233040414
S9H8HPJ50,312592.66999822436,2772256.120039786
S9CQBPKE6,307978.4849569009,2773574.383015573
S9CQKPKKW,307986.98499472695,2773758.370967453
S9DDJPKCB,308657.68899137055,2773515.0430035666
S9C5DPKM7,307373.006971595,2773798.6510352893
S9BPGPLF5,306927.88699695107,2774629.332995895
S9C52PLA6,307361.49398067064,2774470.2800415293
S9C5HPLAM,307376.90206231497,2774485.1599785807
S9CG4PL29,307715.4350251953,2774216.629978167
S9CQTPL6T,307994.729992988,2774362.7649992304
S9C5QPL9K,307384.06108636415,2774451.2601439287
S9CR3PL6N,308003.08609313803,2774357.6150340955
S9CQCPKLT,307979.6509742047,2773786.6990152625
S9CUMPKSF,308116.6022389405,2773966.8168435837
S9D10PK0C,308255.1960770112,2773132.3809840432
S9D0SPK0N,308249.73697167344,2773141.7579574487
S9BV0PJRE,307103.7289903539,2772910.188990913
S9DA9PK81,308552.6609735998,2773377.5330372658
S9D4CPK59,308363.5719654375,2773289.330041428
S9CQNPKE6,307990.00695112644,2773573.865954834
S9GHFPJRP,311854.6380441066,2772919.492956281
S9GFUPJPJ,311803.9172204068,2772850.44900823
S9GUSPK2M,312217.9859726897,2773205.1412619967
S95U3PLAB,300930.56519203115,2774474.6174782594
S9BEEPKK6,306637.3539754424,2773734.423998918
S9D7NPJX4,308469.864984026,2773091.667968217
S9D6UPJF5,308443.63897494983,2772581.5169699267
S9D74PJP2,308451.515035258,2772833.9050025293
S9BNHPHRW,306896.6290972093,2771901.566995743
S9BSFPHRP,307023.04621772043,2771894.6760337953
S9C1WPHPX,307262.0990035253,2771838.5640312973
S9C76PHSK,307429.30101274414,2771922.73901293
S9C5BPHR0,307370.5190979257,2771872.439952224
S9C7MPHT4,307444.7550870252,2771939.7939536693
S9C6PPHTM,307414.361092835,2771957.242951725
S9B1EPGS3,306221.34497853846,2770882.823346331
S9D58PHPH,308391.94006143097,2771825.5129611394
S9BGJPHGL,306705.73600050353,2771603.9329605275
S9BN9PHJ9,306888.68102485983,2771656.611004052
S9BTEPH9S,307053.9210380811,2771386.035033144
S9BQFPHBA,306959.1289764508,2771434.318000043
S9BJCPHG1,306763.82197740197,2771584.855020842
S9C29PHP0,307272.4230235066,2771807.781976995
S9DB4PJ16,308579.3749903323,2772134.450988141
S9DV8PJCU,309159.6689981852,2772507.7059855135
S9DLUPJ6X,308891.60795109055,2772319.427986531
S9DD8PJ5C,308647.88203818945,2772268.43097159
S9DFHPJ5T,308720.97408348724,2772282.7330159177
S9DBGPJ7P,308591.6111091071,2772342.695951123
S9CCWPGWA,307613.2191670418,2771017.609985272
S9CBHPGUH,307568.30503274413,2770960.6810380737
S9CCRPGU3,307608.65501383203,2770946.871955513
S9C8FPGRP,307470.34795353457,2770871.4490265134
S9BUFPH5N,307086.37199401966,2771253.7229947587
S9C1HPH6H,307249.02406038827,2771281.110043131
S9BP2PH30,306913.82207486074,2771168.052955587
S9C59PH5C,307368.58999824687,2771244.526897733
S9C5VPH4P,307388.67399702023,2771223.171954129
S96V7PH71,301990.8539507513,2771297.063029012
S96FWPHAP,301565.6579501877,2771414.8509589513
S98DLPGV9,303539.82598033076,2770984.690987982
S9837PH0U,303207.1430351419,2771100.215982289
S9AFMPGQJ,305652.2849531047,2770833.9340103935
S991KPGQR,304178.59197594546,2770840.9719844246
S993JPGR2,304241.92196601216,2770849.683013876
S9B9APGUQ,306473.5600425569,2770968.0389668797
S9B31PGRR,306272.83195457293,2770872.823032565
S9B3FPGRR,306286.61404598627,2770873.257955449
S9B7TPGUH,306427.01298333355,2770961.489954133
S9B3HPGUF,306288.3039844561,2770959.3709543487
S9B31PGSM,306272.8360347958,2770901.007031152
S9BM8PFGF,306855.6760389233,2769551.3450484667
S9BERPFG6,306648.77300162986,2769542.1960149
S9B7FPFCV,306414.88796340063,2769437.544016649
S9B8SPFGB,306457.79114177695,2769547.3700316534
S9B7TPFGW,306426.75794983393,2769566.3139903913
S9BF9PFSQ,306664.8080469222,2769879.867026232
S9BGMPFSF,306708.1840195892,2769871.1360121085
S9BE5PFSJ,306628.2579795616,2769873.8030436155
S9C2HPGMD,307281.1309628796,2770733.4220370287
S9BD4PFQN,306595.88704712526,2769813.7390299337
S9BR0PGCJ,306976.076978708,2770449.656974421
S9BT2PGCU,307041.49301626586,2770459.7930331915
S9BQ7PGCW,306950.49799052667,2770462.5080265994
S9C7NPHSL,307446.10509992857,2771924.0159645756
S9C8TPHTB,307482.43095489044,2771946.5609679045
S9C1CPH8A,307244.0960299311,2771338.510038803
S9C6HPH7V,307408.89962164237,2771324.733235924
S9C1DPH72,307244.2249540269,2771297.5800316427
S9C14PH8H,307235.5251324013,2771344.5940139177
S9C7SPH86,307449.246987411,2771334.1889602216
S9CS1PH9J,308032.307048004,2771377.99004672
S9CEXPH8M,307678.9650154669,2771349.464960501
S9CUPPH8G,308118.33701552,2771344.295034967
S9CGSPH5D,307737.18213939527,2771245.517011892
S9D6MPHGA,308436.66612956877,2771593.7000011653
S9D23PH9T,308290.3869809844,2771387.22404064
S9D2GPH9T,308303.88097270956,2771386.9739871873
S9D7VPHCL,308476.34220418637,2771476.0539818387
S9D7SPHCT,308473.2350003054,2771482.9459685446
S9C94PHV3,307492.02399837505,2772003.4869738226
S9C9DPJ1M,307501.0859649537,2772148.742041238
S9D67PHJ7,308422.5269869507,2771654.563029822
S9D9SPJAA,308537.6579645194,2772426.3210115484
S9D7FPJ92,308463.1260456699,2772385.945987486
S9HEKPJ11,312786.2205938868,2772128.69018856
S9HEFPJ14,312782.8840961728,2772131.9913975797
S9GPWPJS5,312062.04717739136,2772933.1839614036
S9H0TPJJ2,312346.86401000584,2772674.5450045615
S9GWFPJMB,312270.17601754674,2772778.953988792
S9HB7PJC0,312679.06303117203,2772480.4609820102
S9HAWPJ37,312669.3447309167,2772199.4466433567
S9H81PJ44,312576.2899735254,2772228.5460464167
S9HA8PJ58,312647.39397834876,2772263.898027309
S9CQRPKGT,307993.0889768512,2773658.721983797
S9H0QPK49,312343.41740636335,2773256.5641861786
S95V1PLCA,300960.7189598838,2774537.7450035564
S9BJPPLLH,306774.3929852248,2774801.257994642
S9BPNPLFC,306933.85298943083,2774636.186006416
S9BPAPLEW,306921.6080048795,2774622.1209848225
S9C4TPLA0,307354.5389889761,2774463.563024834
S9CDJPL68,307633.91396309837,2774344.5130489855
S9BWLPLCT,307155.227996576,2774555.0580097823
S9CU6PLCS,308101.7659914198,2774553.6770163467
S9CN1PL89,307904.6140973068,2774409.494031608
S9BRCPL5S,306987.9260360063,2774329.968055354
S9CSQPL9H,308055.5251951177,2774448.9370416007
S9CSHPL5P,308048.9550875306,2774327.545041354
S9CU4PKV6,308099.8839745072,2774054.3400001675
S9CV7PKPF,308134.3510094973,2773871.383997282
S9CXJPKTA,308210.00805849535,2773993.578766574
S9D5DPK2P,308396.46602189646,2773206.572021895
S9D59PK31,308392.4570147737,2773216.8809997877
S9BV4PJQW,307107.6650040118,2772894.4250173927
S9BUNPJT7,307094.0760386535,2772966.754008494
S9BXPPJS2,307190.360019262,2772929.7880268046
S9BUMPJRC,307092.72999870253,2772908.3049614453
S9DDSPK9W,308665.996052457,2773437.578993252
S9DC7PK8J,308614.587121449,2773393.914044246
S9CQPPKEE,307990.3730441122,2773581.826048425
S9GGNPJQJ,311829.8810349478,2772882.0549803847
S9GAWPJHL,311645.7921427378,2772660.2340292525
S9GHUPJN3,311867.42597489763,2772803.0510387034
S9BPHPKJ8,306928.9908758393,2773704.397419015
S9BA6PKLC,306501.3829941415,2773772.0350372614
S9DBGPK17,308591.7520465051,2773159.323044115
S9D99PJUM,308520.50202659884,2773013.0910054455
S9DAKPJHP,308562.5100286153,2772663.0140172956
S9DA8PJAF,308551.6659521205,2772430.8269560775
S9DBAPJRP,308585.90197549335,2772918.565005192
S9BN9PHRV,306888.9060027907,2771901.183975499
S9BNDPHT7,306892.88686251943,2771942.609964216
S9BNJPHRH,306897.41600823734,2771888.8120045317
S9BQ6PHRK,306949.6489708402,2771890.9760415317
S9C25PHPE,307268.33301394124,2771821.8459580652
S9C6KPHUD,307410.6019746688,2771980.8930298747
S9BKMPH23,306804.53397560597,2771138.7499831733
S9D9KPHQH,308531.0639509107,2771857.4990270226
S9D57PHPT,308390.31395454524,2771834.8449520925
S9BCMPHGP,306580.3709850287,2771607.226035504
S9BNEPHKU,306893.7309748647,2771707.857990116
S9BN7PHKU,306886.17097995733,2771708.007970373
S9BTGPH98,307055.74704777607,2771367.7920350926
S9BR4PH9J,306979.3920967491,2771377.792044174
S9BCSPHG4,306585.3209994043,2771588.0329597923
S9BJBPHE3,306762.8570347852,2771522.9799529146
S9DDJPJ2N,308658.1101039356,2772182.328039397
S9E4TPJHM,309402.1949792186,2772660.5779981147
S9DKDPJ63,308845.06610375585,2772291.3090366493
S9DP5PJ8B,308964.6580671779,2772363.3960210234
S9DCBPJ73,308618.5870094275,2772323.463950552
S9DUNPJDL,309141.9629855869,2772532.451505946
S9CERPGXR,307672.35399692913,2771065.293973593
S9CB1PGWB,307552.93900729605,2771019.2100050794
S9CEQPGXA,307671.59520713275,2771049.727967656
S9CEMPGUE,307668.95596616564,2770957.695038147
S9CEMPGU1,307668.5999743472,2770944.922034088
S9C70PGQH,307423.6060083882,2770832.7369793705
S9BTMPH7M,307061.05107482546,2771316.567040929
S9BPLPH3Q,306931.37524650473,2771192.4820017572
S9BKPPH1K,306806.56398417853,2771122.948986821
S9C61PH4X,307392.4609897871,2771230.795967103
S96U5PH79,301956.83403548045,2771305.1790481424
S962MPHCU,301140.6179847036,2771483.968966527
S961EPHAF,301101.8130142983,2771407.4779758304
S98ECPGV2,303564.1419904695,2770977.8079939536
S97CKPH4L,302482.325934559,2771219.5735515635
S98XRPGQU,304120.9559811939,2770843.8729521376
S991JPGQC,304178.15898042993,2770828.1829907615
S991KPGR5,304178.9839718155,2770852.7459785924
S9961PGQW,304320.2859589457,2770845.603957799
S9B9JPGUU,306481.547033718,2770971.8599862605
S9B30PGN9,306271.6520338294,2770760.843036308
S9B19PGRC,306216.30799731845,2770860.2410394866
S9BBQPGS5,306552.0810373731,2770885.332955097
S9B37PGDF,306278.54602665774,2770479.0350407413
S9B8JPGUV,306450.1189574735,2770972.859010085
S9B3HPGW0,306288.7759500966,2771007.8509529615
S9B32PGUD,306273.36199502734,2770957.2390292143
S9AXTPGRW,306171.1270119616,2770878.206963087
S9BMAPFJ9,306857.2030970918,2769609.1250164844
S9BMNPFGF,306869.21412887366,2769551.119975799
S9BTJPFFX,307057.53029710933,2769534.8311377633
S9BEQPFEP,306647.4860381417,2769494.559953462
S9B8MPFBX,306452.9899583123,2769406.5889567696
S9B68PFAP,306375.52895249095,2769366.974956711
S9B6XPFCV,306399.0399766176,2769436.598983773
S9B3WPFGA,306301.6470485036,2769546.2810468357
S9B7WPFEN,306429.6150059747,2769494.246012253
